0,1,2,3
Texas Attorney General’s Office,TX,101-500,This organization did not respond to a request for comment.
Texas Department of Criminal Justice,TX,6-10,"“I am unaware of this technology and do not believe that we have or use it.” —Jeremy Desel, communications director"
Texas Department of Family and Protective Services,TX,1-5,"“DFPS is not a law enforcement agency and does not use this technology.” —Marissa Gonzales, spokesperson"
Texas Department of Public Safety,TX,101-500,This organization did not respond to a request for comment.
The University of Texas at Tyler Police Department,TX,101-500,This organization did not respond to a request for comment.
Tyler Police Department,TX,11-50,This organization did not respond to a request for comment.
University of Texas Southwestern Medical Center Police Department,TX,101-500,This organization did not respond to a request for comment.
University Park Police Department,TX,51-100,This organization did not respond to a request for comment.
Victoria Police Department,TX,11-50,This organization did not respond to a request for comment.
Weatherford Police Department,TX,51-100,This organization did not respond to a request for comment.
White Settlement Police Department,TX,6-10,"“[Our public information officer] is unaware of anyone using the equipment you are referencing.” —Alena Brown, dispatch supervisor"
Whitesboro Police Department,TX,1-5,This organization did not respond to a request for comment.
Wylie Police Department,TX,51-100,"“We had four officers that attended a training in approximately January of 2020. During that training, they were put through a demo of this software. I spoke to one of the officers who is unaware of any use beyond the training class. Since it was done in a training class, that explains why we were unaware of it.” —Tommy Walters, assistant police chief"
American Fork Police Department,UT,11-50,This organization did not respond to a request for comment.
Carbon County Sheriff’s Office,UT,1-5,This organization did not respond to a request for comment.
Herriman City Police Department,UT,51-100,This organization did not respond to a request for comment.
Juab County Sheriff’s Office,UT,1-5,"“Asking around, we did have a couple of investigations that used this software on a trial basis. We have not purchased this software. I am not aware that this was beneficial. The investigator is no longer working for our office.” —Brent Pulver, chief deputy"
North Ogden Police Department,UT,11-50,This organization did not respond to a request for comment.
Orem Police Department,UT,1-5,"“Initially signed up for it more than a year ago and automatically renewed to try with detective division. One guy used it and it didnt work. Hasn’t led to any arrests. Supervisor said it didnt work like we thought it would.” —Lt. Nick Thomas, spokesperson"
